CustomerID,segment_id,segment_name,monetary,frequency,recency_days,tenure_days,risk_prob,risk_score,value_score,priority_score
12346,1,High Value At-Risk,77183.6,1,326,0,0.9175,91.8,88.3,81.0
15098,1,High Value At-Risk,39916.5,3,182,0,0.965,96.5,82.3,79.4
15749,1,High Value At-Risk,44534.3,3,235,97,0.925,92.5,83.3,77.0
12590,0,Frequent Budget Buyers,9864.26,2,211,0,0.9825,98.2,69.5,68.3
16180,0,Frequent Budget Buyers,10254.18,8,100,152,0.955,95.5,69.9,66.7
13093,0,Frequent Budget Buyers,7832.47,8,276,97,0.9725,97.2,67.4,65.6
12980,1,High Value At-Risk,7374.900000000001,9,158,200,0.9575,95.8,66.9,64.0
13027,0,Frequent Budget Buyers,6912.0,6,114,240,0.9475,94.8,66.3,62.8
17850,0,Frequent Budget Buyers,5391.21,34,372,1,0.9725,97.2,64.0,62.3
12688,0,Frequent Budget Buyers,4873.8099999999995,1,114,0,0.97,97.0,63.1,61.2
13802,0,Frequent Budget Buyers,4599.42,3,139,172,0.965,96.5,62.6,60.4
12755,1,High Value At-Risk,3811.95,2,281,85,0.985,98.5,60.9,60.0
12378,0,Frequent Budget Buyers,4008.62,1,130,0,0.975,97.5,61.3,59.8
13082,0,Frequent Budget Buyers,3613.63,9,126,212,0.9775,97.8,60.4,59.0
16553,0,Frequent Budget Buyers,5719.82,12,163,197,0.91,91.0,64.6,58.8
17230,0,Frequent Budget Buyers,3638.41,8,264,95,0.9725,97.2,60.5,58.8
18087,1,High Value At-Risk,4055.7199999999993,2,98,192,0.9575,95.8,61.4,58.8
14364,0,Frequent Budget Buyers,3717.35,8,109,102,0.9675,96.8,60.7,58.7
15808,0,Frequent Budget Buyers,3734.9700000000003,4,306,63,0.9675,96.8,60.7,58.7
15379,0,Frequent Budget Buyers,3703.29,7,169,189,0.965,96.5,60.6,58.5
14016,0,Frequent Budget Buyers,4341.21,4,162,195,0.9425,94.2,62.1,58.5
18073,0,Frequent Budget Buyers,3877.5200000000004,12,114,82,0.955,95.5,61.0,58.3
12643,0,Frequent Budget Buyers,3344.64,6,128,204,0.9725,97.2,59.7,58.1
12754,0,Frequent Budget Buyers,3010.74,3,236,72,0.985,98.5,58.7,57.9
12502,0,Frequent Budget Buyers,3723.87,5,96,214,0.955,95.5,60.7,57.9
15032,0,Frequent Budget Buyers,4959.1,3,256,110,0.915,91.5,63.3,57.9
12916,0,Frequent Budget Buyers,3006.15,4,139,181,0.9825,98.2,58.7,57.7
14439,0,Frequent Budget Buyers,2661.24,1,320,0,0.99,99.0,57.6,57.0
13631,0,Frequent Budget Buyers,3070.42,11,100,167,0.9675,96.8,58.9,57.0
12758,0,Frequent Budget Buyers,2791.59,2,117,159,0.98,98.0,58.0,56.9
17050,0,Frequent Budget Buyers,3228.84,6,96,203,0.9575,95.8,59.4,56.8
12669,0,Frequent Budget Buyers,2744.0299999999997,3,151,105,0.98,98.0,57.9,56.7
12840,0,Frequent Budget Buyers,2726.77,4,144,82,0.9775,97.8,57.8,56.5
13135,0,Frequent Budget Buyers,3096.0,1,197,0,0.9575,95.8,59.0,56.5
12625,0,Frequent Budget Buyers,2683.82,2,212,107,0.98,98.0,57.7,56.5
15491,0,Frequent Budget Buyers,3100.09,6,95,140,0.955,95.5,59.0,56.3
17444,0,Frequent Budget Buyers,2940.04,3,148,25,0.9575,95.8,58.5,56.0
18260,0,Frequent Budget Buyers,2643.2000000000003,6,173,185,0.9725,97.2,57.6,56.0
17504,0,Frequent Budget Buyers,2997.0299999999997,9,206,116,0.9525,95.2,58.7,55.9
15245,0,Frequent Budget Buyers,2515.84,3,134,127,0.9775,97.8,57.1,55.8
15704,0,Frequent Budget Buyers,2293.62,4,140,75,0.99,99.0,56.3,55.7
15581,0,Frequent Budget Buyers,3679.9700000000003,13,121,245,0.92,92.0,60.6,55.7
13869,0,Frequent Budget Buyers,3104.95,4,123,233,0.9425,94.2,59.0,55.6
16919,0,Frequent Budget Buyers,2596.45,11,156,212,0.9675,96.8,57.4,55.5
14930,0,Frequent Budget Buyers,2372.86,3,109,165,0.9775,97.8,56.6,55.3
17723,0,Frequent Budget Buyers,3276.4000000000005,6,127,87,0.9275,92.8,59.5,55.2
13851,0,Frequent Budget Buyers,2651.46,3,96,192,0.9575,95.8,57.6,55.1
13722,0,Frequent Budget Buyers,2375.41,3,132,151,0.9725,97.2,56.6,55.0
17597,0,Frequent Budget Buyers,2044.3700000000001,1,214,0,0.9925,99.2,55.2,54.8
14461,0,Frequent Budget Buyers,2103.06,3,148,113,0.985,98.5,55.5,54.6
15372,0,Frequent Budget Buyers,2007.3999999999999,1,137,0,0.9925,99.2,55.0,54.6
15235,0,Frequent Budget Buyers,2247.51,12,218,155,0.9725,97.2,56.1,54.5
16754,0,Frequent Budget Buyers,2002.4,1,372,0,0.99,99.0,55.0,54.5
14407,0,Frequent Budget Buyers,2157.73,6,107,169,0.9775,97.8,55.7,54.5
15665,0,Frequent Budget Buyers,2242.01,2,168,74,0.97,97.0,56.1,54.4
17400,0,Frequent Budget Buyers,2129.96,5,126,226,0.9775,97.8,55.6,54.3
12585,0,Frequent Budget Buyers,2040.1,2,234,117,0.9775,97.8,55.2,54.0
16698,0,Frequent Budget Buyers,1998.0,2,227,26,0.98,98.0,55.0,53.9
12424,0,Frequent Budget Buyers,1760.96,2,163,0,1.0,100.0,53.9,53.9
13952,0,Frequent Budget Buyers,3251.071,2,218,20,0.905,90.5,59.4,53.8
16902,0,Frequent Budget Buyers,1706.88,1,116,0,1.0,100.0,53.6,53.6
14459,0,Frequent Budget Buyers,1837.92,1,155,0,0.9875,98.8,54.2,53.6
12764,0,Frequent Budget Buyers,1693.88,1,317,0,0.9975,99.8,53.5,53.4
12383,0,Frequent Budget Buyers,1850.56,5,185,167,0.9825,98.2,54.3,53.4
12501,0,Frequent Budget Buyers,2169.39,1,337,0,0.9575,95.8,55.8,53.4
14935,0,Frequent Budget Buyers,1784.71,1,297,0,0.99,99.0,54.0,53.4
12653,0,Frequent Budget Buyers,2209.85,2,149,147,0.955,95.5,55.9,53.4
12405,0,Frequent Budget Buyers,1710.39,1,149,0,0.995,99.5,53.6,53.3
18231,0,Frequent Budget Buyers,2083.27,5,192,96,0.9625,96.2,55.4,53.3
17353,0,Frequent Budget Buyers,1740.0,2,129,25,0.9925,99.2,53.7,53.3
16398,0,Frequent Budget Buyers,1705.8,2,154,99,0.9925,99.2,53.6,53.2
16152,0,Frequent Budget Buyers,1829.04,1,269,0,0.98,98.0,54.2,53.1
15797,0,Frequent Budget Buyers,2207.4,4,113,206,0.9475,94.8,55.9,53.0
13593,0,Frequent Budget Buyers,2037.0800000000002,5,108,227,0.96,96.0,55.2,53.0
17406,0,Frequent Budget Buyers,2200.42,3,333,33,0.9475,94.8,55.9,52.9
14918,0,Frequent Budget Buyers,1610.15,2,116,38,0.9975,99.8,53.0,52.9
12377,0,Frequent Budget Buyers,1628.12,2,315,39,0.995,99.5,53.1,52.9
17457,0,Frequent Budget Buyers,1737.7,5,127,212,0.985,98.5,53.7,52.9
